"","sensor_id","city","day_of_week","hour","aqi","pm2.5_alt","temperature","humidity","pressure","time_stamp"
"44","107358","EPA or BH","Mon",19,29,6.9,82.933,43.567,1011.01,"2023-07-17T19:00:00Z"
"45","107358","EPA or BH","Mon",20,35,8.4,85.034,41.4,1010.676,"2023-07-17T20:00:00Z"
"46","107358","EPA or BH","Mon",21,31,7.4,85.8,40.2,1010.428,"2023-07-17T21:00:00Z"
"47","107358","EPA or BH","Mon",22,28,6.6,85.9,39.466,1010.106,"2023-07-17T22:00:00Z"
"48","107358","EPA or BH","Mon",23,27,6.4,86.633,38.067,1009.707,"2023-07-17T23:00:00Z"
"49","107358","EPA or BH","Tue",0,25,6.1,86.667,38.1,1009.617,"2023-07-18T00:00:00Z"
"50","107358","EPA or BH","Tue",1,25,6.1,86.934,39.367,1009.734,"2023-07-18T01:00:00Z"
"51","107358","EPA or BH","Tue",2,30,7.3,84.7,40.9,1010.264,"2023-07-18T02:00:00Z"
"52","107358","EPA or BH","Tue",3,31,7.5,80.566,46.633,1010.502,"2023-07-18T03:00:00Z"
"53","107358","EPA or BH","Tue",4,34,8.2,77.433,48.833,1010.89,"2023-07-18T04:00:00Z"
"54","107358","EPA or BH","Tue",5,34,8.2,76.133,49.633,1011.214,"2023-07-18T05:00:00Z"
"55","107358","EPA or BH","Tue",6,33,7.9,74.733,50.834,1011.417,"2023-07-18T06:00:00Z"
"56","107358","EPA or BH","Tue",7,32,7.7,73.966,52.067,1011.538,"2023-07-18T07:00:00Z"
"57","107358","EPA or BH","Tue",8,32,7.6,73,53.367,1011.582,"2023-07-18T08:00:00Z"
"58","107358","EPA or BH","Tue",9,31,7.5,72.434,54.166,1011.478,"2023-07-18T09:00:00Z"
"59","107358","EPA or BH","Tue",10,30,7.3,71.166,56.066,1011.392,"2023-07-18T10:00:00Z"
"60","107358","EPA or BH","Tue",11,30,7.2,70.1,57.3,1011.507,"2023-07-18T11:00:00Z"
"61","107358","EPA or BH","Tue",12,30,7.3,69,58.567,1011.587,"2023-07-18T12:00:00Z"
"62","107358","EPA or BH","Tue",13,30,7.2,68.867,59.767,1012.061,"2023-07-18T13:00:00Z"
"63","107358","EPA or BH","Tue",14,29,7,69.733,58.6,1012.542,"2023-07-18T14:00:00Z"
"64","107358","EPA or BH","Tue",15,29,6.9,71.434,55.833,1013.006,"2023-07-18T15:00:00Z"
"65","107358","EPA or BH","Tue",16,34,8.1,73.367,53.8,1013.329,"2023-07-18T16:00:00Z"
"66","107358","EPA or BH","Tue",17,31,7.4,75.5,50.5,1013.576,"2023-07-18T17:00:00Z"
"67","107358","EPA or BH","Tue",18,30,7.2,76.3,49.4,1013.774,"2023-07-18T18:00:00Z"
"68","107358","EPA or BH","Tue",19,30,7.1,77.5,47.867,1013.843,"2023-07-18T19:00:00Z"
"69","107358","EPA or BH","Tue",20,33,8,79,46.334,1013.571,"2023-07-18T20:00:00Z"
"70","107358","EPA or BH","Tue",21,46,11,78.9,46.5,1013.237,"2023-07-18T21:00:00Z"
"71","107358","EPA or BH","Tue",22,47,11.3,79.233,46.966,1012.957,"2023-07-18T22:00:00Z"
"72","107358","EPA or BH","Tue",23,50,11.9,78.9,47.234,1012.817,"2023-07-18T23:00:00Z"
"73","107358","EPA or BH","Wed",0,53,12.9,78.233,48.434,1012.783,"2023-07-19T00:00:00Z"
"74","107358","EPA or BH","Wed",1,52,12.6,79.367,47.133,1012.794,"2023-07-19T01:00:00Z"
"75","107358","EPA or BH","Wed",2,57,15,77.534,48.267,1013.14,"2023-07-19T02:00:00Z"
"76","107358","EPA or BH","Wed",3,55,14,74.133,51.433,1013.583,"2023-07-19T03:00:00Z"
"77","107358","EPA or BH","Wed",4,57,14.8,71.8,54.567,1014.21,"2023-07-19T04:00:00Z"
"78","107358","EPA or BH","Wed",5,61,17,71,55.567,1014.73,"2023-07-19T05:00:00Z"
"79","107358","EPA or BH","Wed",6,63,17.9,70.5,55.933,1014.769,"2023-07-19T06:00:00Z"
"80","107358","EPA or BH","Wed",7,54,13.5,69.966,56.2,1014.736,"2023-07-19T07:00:00Z"
"81","107358","EPA or BH","Wed",8,54,13.6,69.966,57.534,1014.698,"2023-07-19T08:00:00Z"
"82","107358","EPA or BH","Wed",9,57,15.1,70,57.234,1014.681,"2023-07-19T09:00:00Z"
"83","107358","EPA or BH","Wed",10,60,16.3,70,57.133,1014.652,"2023-07-19T10:00:00Z"
"84","107358","EPA or BH","Wed",11,60,16.4,70,57.433,1014.694,"2023-07-19T11:00:00Z"
"85","107358","EPA or BH","Wed",12,61,16.9,70,58,1014.775,"2023-07-19T12:00:00Z"
"86","107358","EPA or BH","Wed",13,62,17.4,70,58,1014.995,"2023-07-19T13:00:00Z"
"87","107358","EPA or BH","Wed",14,61,16.7,69.867,57.434,1015.236,"2023-07-19T14:00:00Z"
"88","107358","EPA or BH","Wed",15,64,18.4,70.466,56.834,1015.669,"2023-07-19T15:00:00Z"
"89","107358","EPA or BH","Wed",16,68,20.1,72.367,54.833,1015.962,"2023-07-19T16:00:00Z"
"90","107358","EPA or BH","Wed",17,68,20.1,75.167,51.9,1016.033,"2023-07-19T17:00:00Z"
"91","107358","EPA or BH","Wed",18,63,17.7,76.1,49.834,1016.169,"2023-07-19T18:00:00Z"
"92","107358","EPA or BH","Wed",19,52,12.5,77,49.2,1016.153,"2023-07-19T19:00:00Z"
"93","107358","EPA or BH","Wed",20,35,8.5,77.267,48.5,1015.825,"2023-07-19T20:00:00Z"
"94","107358","EPA or BH","Wed",21,29,6.9,78.467,46.467,1015.553,"2023-07-19T21:00:00Z"
"95","107358","EPA or BH","Wed",22,31,7.5,78.433,45.933,1015.075,"2023-07-19T22:00:00Z"
"96","107358","EPA or BH","Wed",23,35,8.3,78.4,46.533,1014.889,"2023-07-19T23:00:00Z"
"97","107358","EPA or BH","Thu",0,36,8.6,78.934,45.534,1014.745,"2023-07-20T00:00:00Z"
"98","107358","EPA or BH","Thu",1,40,9.6,78.8,46.434,1014.75,"2023-07-20T01:00:00Z"
"99","107358","EPA or BH","Thu",2,48,11.5,77.367,48.733,1015.016,"2023-07-20T02:00:00Z"
"100","107358","EPA or BH","Thu",3,50,12,74.066,50.967,1015.266,"2023-07-20T03:00:00Z"
"101","107358","EPA or BH","Thu",4,68,20.1,71.466,51.233,1015.887,"2023-07-20T04:00:00Z"
"102","107358","EPA or BH","Thu",5,54,13.6,69.566,53.467,1016.201,"2023-07-20T05:00:00Z"
"103","107358","EPA or BH","Thu",6,47,11.3,68.633,55.767,1016.234,"2023-07-20T06:00:00Z"
"104","107358","EPA or BH","Thu",7,48,11.5,67.633,57.633,1016.2,"2023-07-20T07:00:00Z"
"105","107358","EPA or BH","Thu",8,51,12.1,67,58.7,1016.102,"2023-07-20T08:00:00Z"
"106","107358","EPA or BH","Thu",9,56,14.5,67.9,60.434,1015.908,"2023-07-20T09:00:00Z"
"107","107358","EPA or BH","Thu",10,64,18.1,69.066,59.534,1015.756,"2023-07-20T10:00:00Z"
"108","107358","EPA or BH","Thu",11,68,20,69.3,59.1,1015.687,"2023-07-20T11:00:00Z"
"109","107358","EPA or BH","Thu",12,71,21.5,69.633,59.034,1015.792,"2023-07-20T12:00:00Z"
"110","107358","EPA or BH","Thu",13,74,22.9,70,59,1016.219,"2023-07-20T13:00:00Z"
"111","107358","EPA or BH","Thu",14,73,22.6,70.066,59,1016.467,"2023-07-20T14:00:00Z"
"112","107358","EPA or BH","Thu",15,71,21.8,71,58.966,1016.638,"2023-07-20T15:00:00Z"
"113","107358","EPA or BH","Thu",16,72,22.3,71.733,58,1016.62,"2023-07-20T16:00:00Z"
"114","107358","EPA or BH","Thu",17,71,21.5,74.733,54.5,1016.498,"2023-07-20T17:00:00Z"
"115","107358","EPA or BH","Thu",18,69,20.5,76.434,51.767,1016.259,"2023-07-20T18:00:00Z"
"116","107358","EPA or BH","Thu",19,67,19.9,78.533,49.833,1015.87,"2023-07-20T19:00:00Z"
"117","107358","EPA or BH","Thu",20,61,17,80.534,46.966,1015.51,"2023-07-20T20:00:00Z"
"118","107358","EPA or BH","Thu",21,61,16.7,82.667,43.466,1015.072,"2023-07-20T21:00:00Z"
"119","107358","EPA or BH","Thu",22,61,16.9,84.034,41.3,1014.747,"2023-07-20T22:00:00Z"
"120","107358","EPA or BH","Thu",23,57,14.8,84.7,40.9,1014.563,"2023-07-20T23:00:00Z"
"121","107358","EPA or BH","Fri",0,40,9.5,83.767,41.867,1014.323,"2023-07-21T00:00:00Z"
"122","107358","EPA or BH","Fri",1,30,7.3,82.1,43.7,1014.154,"2023-07-21T01:00:00Z"
"123","107358","EPA or BH","Fri",2,43,10.3,81.334,43.867,1014.24,"2023-07-21T02:00:00Z"
"124","107358","EPA or BH","Fri",3,60,16.5,78.5,47.367,1014.36,"2023-07-21T03:00:00Z"
"125","107358","EPA or BH","Fri",4,66,19.2,76.1,50.1,1014.646,"2023-07-21T04:00:00Z"
"126","107358","EPA or BH","Fri",5,59,16,74.434,51.367,1014.652,"2023-07-21T05:00:00Z"
"127","107358","EPA or BH","Fri",6,46,11,72.934,52.5,1014.469,"2023-07-21T06:00:00Z"
"128","107358","EPA or BH","Fri",7,46,11.1,71.066,52.666,1014.264,"2023-07-21T07:00:00Z"
"129","107358","EPA or BH","Fri",8,43,10.4,69.833,54.6,1014.069,"2023-07-21T08:00:00Z"
"130","107358","EPA or BH","Fri",9,42,10.1,69,56.2,1013.623,"2023-07-21T09:00:00Z"
"131","107358","EPA or BH","Fri",10,45,10.7,68.034,57.433,1013.207,"2023-07-21T10:00:00Z"
"132","107358","EPA or BH","Fri",11,46,11.1,67.3,58.367,1012.982,"2023-07-21T11:00:00Z"
"133","107358","EPA or BH","Fri",12,50,11.9,66.966,59.433,1013.29,"2023-07-21T12:00:00Z"
"134","107358","EPA or BH","Fri",13,54,13.4,66.591,60.2,1013.529,"2023-07-21T13:00:00Z"
"135","107358","EPA or BH","Fri",14,55,13.9,68.267,60.956,1013.714,"2023-07-21T14:00:00Z"
"136","107358","EPA or BH","Fri",15,47,11.2,71.167,58.834,1013.96,"2023-07-21T15:00:00Z"
"137","107358","EPA or BH","Fri",16,46,11.1,73.4,56.4,1013.814,"2023-07-21T16:00:00Z"
"138","107358","EPA or BH","Fri",17,48,11.4,76.191,53.166,1013.713,"2023-07-21T17:00:00Z"
"139","107358","EPA or BH","Fri",18,48,11.5,77.8,50.7,1013.648,"2023-07-21T18:00:00Z"
"140","107358","EPA or BH","Fri",19,45,10.8,79.466,48.034,1013.257,"2023-07-21T19:00:00Z"
"141","107358","EPA or BH","Fri",20,43,10.3,81.8,43.567,1012.928,"2023-07-21T20:00:00Z"
"142","107358","EPA or BH","Fri",21,48,11.5,83.534,40.3,1012.344,"2023-07-21T21:00:00Z"
"143","107358","EPA or BH","Fri",22,52,12.4,84.933,36.133,1011.751,"2023-07-21T22:00:00Z"
"144","107358","EPA or BH","Fri",23,36,8.6,86.066,34.666,1011.471,"2023-07-21T23:00:00Z"
"145","107358","EPA or BH","Sat",0,32,7.7,85.166,36.167,1011.16,"2023-07-22T00:00:00Z"
"146","107358","EPA or BH","Sat",1,43,10.3,84.767,36.767,1010.634,"2023-07-22T01:00:00Z"
"147","107358","EPA or BH","Sat",2,42,10,82.2,39.8,1010.412,"2023-07-22T02:00:00Z"
"148","107358","EPA or BH","Sat",3,32,7.8,78.034,46.466,1011.14,"2023-07-22T03:00:00Z"
"149","107358","EPA or BH","Sat",4,29,7,75.2,49.466,1011.419,"2023-07-22T04:00:00Z"
"150","107358","EPA or BH","Sat",5,28,6.8,73.2,51.334,1011.578,"2023-07-22T05:00:00Z"
"151","107358","EPA or BH","Sat",6,30,7.2,72.133,52.6,1011.746,"2023-07-22T06:00:00Z"
"152","107358","EPA or BH","Sat",7,30,7.3,71,53.933,1011.593,"2023-07-22T07:00:00Z"
"153","107358","EPA or BH","Sat",8,29,6.9,69.5,55.233,1011.057,"2023-07-22T08:00:00Z"
"154","107358","EPA or BH","Sat",9,29,6.9,68.367,57.3,1010.876,"2023-07-22T09:00:00Z"
"155","107358","EPA or BH","Sat",10,29,7,67.334,58,1010.693,"2023-07-22T10:00:00Z"
"156","107358","EPA or BH","Sat",11,27,6.4,66.809,58.15,1010.528,"2023-07-22T11:00:00Z"
"157","107358","EPA or BH","Sat",12,26,6.2,66,59,1010.668,"2023-07-22T12:00:00Z"
"158","107358","EPA or BH","Sat",13,26,6.2,65.3,60.2,1010.917,"2023-07-22T13:00:00Z"
"159","107358","EPA or BH","Sat",14,27,6.5,66.733,60.8,1011.288,"2023-07-22T14:00:00Z"
"160","107358","EPA or BH","Sat",15,28,6.6,69.034,57.733,1011.337,"2023-07-22T15:00:00Z"
"161","107358","EPA or BH","Sat",16,48,11.4,71.767,54.6,1011.18,"2023-07-22T16:00:00Z"
"162","107358","EPA or BH","Sat",17,31,7.5,75.333,50.8,1010.87,"2023-07-22T17:00:00Z"
"163","107358","EPA or BH","Sat",18,30,7.2,78.166,48.3,1010.875,"2023-07-22T18:00:00Z"
"164","107358","EPA or BH","Sat",19,30,7.1,80.9,45.166,1010.359,"2023-07-22T19:00:00Z"
"165","107358","EPA or BH","Sat",20,31,7.5,83.733,40.067,1009.928,"2023-07-22T20:00:00Z"
"166","107358","EPA or BH","Sat",21,32,7.7,85.967,37.367,1009.811,"2023-07-22T21:00:00Z"
"167","107358","EPA or BH","Sat",22,35,8.4,88.066,34.767,1009.351,"2023-07-22T22:00:00Z"
"168","107358","EPA or BH","Sat",23,41,9.8,89.534,32.534,1008.826,"2023-07-22T23:00:00Z"
"169","118565","PA or MP","Sun",0,6,1.5,111.6,16.466,1010.355,"2023-07-16T00:00:00Z"
"170","118565","PA or MP","Sun",1,6,1.4,99.3,23.167,1010.231,"2023-07-16T01:00:00Z"
"171","118565","PA or MP","Sun",2,7,1.7,87,32.633,1010.288,"2023-07-16T02:00:00Z"
"172","118565","PA or MP","Sun",3,14,3.4,79.966,40.1,1010.511,"2023-07-16T03:00:00Z"
"173","118565","PA or MP","Sun",4,11,2.6,75.9,44.933,1010.841,"2023-07-16T04:00:00Z"
"174","118565","PA or MP","Sun",5,12,2.9,73.2,48.234,1011.42,"2023-07-16T05:00:00Z"
"175","118565","PA or MP","Sun",6,11,2.6,71.166,52.833,1011.469,"2023-07-16T06:00:00Z"
"176","118565","PA or MP","Sun",7,12,2.9,70.034,55,1011.46,"2023-07-16T07:00:00Z"
"177","118565","PA or MP","Sun",8,11,2.6,69.233,55.5,1011.389,"2023-07-16T08:00:00Z"
"178","118565","PA or MP","Sun",9,8,1.9,68.4,57.433,1011.128,"2023-07-16T09:00:00Z"
"179","118565","PA or MP","Sun",10,7,1.7,67.966,58,1010.87,"2023-07-16T10:00:00Z"
"180","118565","PA or MP","Sun",11,10,2.5,67.166,58.034,1010.865,"2023-07-16T11:00:00Z"
"181","118565","PA or MP","Sun",12,8,1.9,66.567,58.733,1010.639,"2023-07-16T12:00:00Z"
"182","118565","PA or MP","Sun",13,8,2,66.433,59.433,1010.675,"2023-07-16T13:00:00Z"
"183","118565","PA or MP","Sun",14,10,2.3,68.8,59.1,1010.899,"2023-07-16T14:00:00Z"
"184","118565","PA or MP","Sun",15,9,2.2,71.733,57.7,1011.195,"2023-07-16T15:00:00Z"
"185","118565","PA or MP","Sun",16,10,2.4,74.5,54.7,1011.282,"2023-07-16T16:00:00Z"
"186","118565","PA or MP","Sun",17,12,2.8,77.367,51.234,1011.346,"2023-07-16T17:00:00Z"
"187","118565","PA or MP","Sun",18,13,3.2,80.767,45.633,1011.392,"2023-07-16T18:00:00Z"
"188","118565","PA or MP","Sun",19,18,4.2,83.966,41.433,1011.414,"2023-07-16T19:00:00Z"
"189","118565","PA or MP","Sun",20,20,4.8,90.433,35.267,1011.172,"2023-07-16T20:00:00Z"
"190","118565","PA or MP","Sun",21,18,4.3,98.934,26.434,1010.824,"2023-07-16T21:00:00Z"
"191","118565","PA or MP","Sun",22,14,3.4,101.367,23.334,1010.469,"2023-07-16T22:00:00Z"
"192","118565","PA or MP","Sun",23,18,4.4,97.133,25.166,1010.418,"2023-07-16T23:00:00Z"
"193","118565","PA or MP","Mon",0,17,4,95.267,27.267,1010.293,"2023-07-17T00:00:00Z"
"194","118565","PA or MP","Mon",1,15,3.6,89.267,32.166,1010.288,"2023-07-17T01:00:00Z"
"195","118565","PA or MP","Mon",2,15,3.5,80.733,40.2,1010.593,"2023-07-17T02:00:00Z"
"196","118565","PA or MP","Mon",3,14,3.4,76.566,45.834,1011.077,"2023-07-17T03:00:00Z"
"197","118565","PA or MP","Mon",4,11,2.6,74.233,48.9,1011.632,"2023-07-17T04:00:00Z"
"198","118565","PA or MP","Mon",5,10,2.5,73.934,50.6,1011.94,"2023-07-17T05:00:00Z"
"199","118565","PA or MP","Mon",6,10,2.5,74.5,51.067,1012.168,"2023-07-17T06:00:00Z"
"200","118565","PA or MP","Mon",7,11,2.7,74.067,50.633,1012.008,"2023-07-17T07:00:00Z"
"201","118565","PA or MP","Mon",8,12,2.8,72.834,53,1011.773,"2023-07-17T08:00:00Z"
"202","118565","PA or MP","Mon",9,9,2.1,71.566,51.133,1011.575,"2023-07-17T09:00:00Z"
"203","118565","PA or MP","Mon",10,10,2.4,70.9,53.233,1011.521,"2023-07-17T10:00:00Z"
"204","118565","PA or MP","Mon",11,9,2.2,71,53,1011.418,"2023-07-17T11:00:00Z"
"205","118565","PA or MP","Mon",12,9,2.2,70.966,54.3,1011.287,"2023-07-17T12:00:00Z"
"206","118565","PA or MP","Mon",13,9,2.1,70.133,55.466,1011.379,"2023-07-17T13:00:00Z"
"207","118565","PA or MP","Mon",14,11,2.6,70.9,54.833,1011.891,"2023-07-17T14:00:00Z"
"208","118565","PA or MP","Mon",15,12,2.8,72.367,53.434,1012.233,"2023-07-17T15:00:00Z"
"209","118565","PA or MP","Mon",16,11,2.7,72.9,52.534,1012.565,"2023-07-17T16:00:00Z"
"210","118565","PA or MP","Mon",17,12,3,76.367,48.933,1012.606,"2023-07-17T17:00:00Z"
"211","118565","PA or MP","Mon",18,12,3,79.8,44.4,1012.468,"2023-07-17T18:00:00Z"
"212","118565","PA or MP","Mon",19,13,3.1,83.3,40.467,1012.103,"2023-07-17T19:00:00Z"
"213","118565","PA or MP","Mon",20,13,3.2,88.733,35.5,1011.716,"2023-07-17T20:00:00Z"
"214","118565","PA or MP","Mon",21,12,2.9,99.7,26.1,1011.544,"2023-07-17T21:00:00Z"
"215","118565","PA or MP","Mon",22,11,2.7,105.834,20.934,1010.995,"2023-07-17T22:00:00Z"
"216","118565","PA or MP","Mon",23,9,2.2,108.666,18.566,1010.639,"2023-07-17T23:00:00Z"
"217","118565","PA or MP","Tue",0,9,2.1,108.1,18.666,1010.514,"2023-07-18T00:00:00Z"
"218","118565","PA or MP","Tue",1,9,2.2,100.5,23.834,1010.654,"2023-07-18T01:00:00Z"
"219","118565","PA or MP","Tue",2,11,2.6,89.233,32.133,1011.208,"2023-07-18T02:00:00Z"
"220","118565","PA or MP","Tue",3,14,3.4,82.267,39.967,1011.56,"2023-07-18T03:00:00Z"
"221","118565","PA or MP","Tue",4,18,4.3,76.567,45.867,1012.093,"2023-07-18T04:00:00Z"
"222","118565","PA or MP","Tue",5,17,4.1,74.367,47.067,1012.303,"2023-07-18T05:00:00Z"
"223","118565","PA or MP","Tue",6,17,4,72.7,49.466,1012.514,"2023-07-18T06:00:00Z"
"224","118565","PA or MP","Tue",7,16,3.9,71,51.733,1012.688,"2023-07-18T07:00:00Z"
"225","118565","PA or MP","Tue",8,16,3.9,70.3,53.067,1012.683,"2023-07-18T08:00:00Z"
"226","118565","PA or MP","Tue",9,18,4.3,69.867,53.334,1012.587,"2023-07-18T09:00:00Z"
"227","118565","PA or MP","Tue",10,14,3.3,69,54.466,1012.568,"2023-07-18T10:00:00Z"
"228","118565","PA or MP","Tue",11,14,3.4,67.833,55.833,1012.636,"2023-07-18T11:00:00Z"
"229","118565","PA or MP","Tue",12,14,3.4,66.867,56.966,1012.814,"2023-07-18T12:00:00Z"
"230","118565","PA or MP","Tue",13,13,3.2,66.133,57.933,1013.139,"2023-07-18T13:00:00Z"
"231","118565","PA or MP","Tue",14,14,3.4,67.1,58.033,1013.685,"2023-07-18T14:00:00Z"
"232","118565","PA or MP","Tue",15,15,3.7,68.834,55.966,1014.108,"2023-07-18T15:00:00Z"
"233","118565","PA or MP","Tue",16,15,3.7,71.6,53.233,1014.376,"2023-07-18T16:00:00Z"
"234","118565","PA or MP","Tue",17,14,3.4,73.433,50.3,1014.605,"2023-07-18T17:00:00Z"
"235","118565","PA or MP","Tue",18,13,3.2,74.7,48.7,1014.807,"2023-07-18T18:00:00Z"
"236","118565","PA or MP","Tue",19,13,3.1,76.2,46.133,1014.838,"2023-07-18T19:00:00Z"
"237","118565","PA or MP","Tue",20,15,3.5,81.7,40.8,1014.613,"2023-07-18T20:00:00Z"
"238","118565","PA or MP","Tue",21,22,5.3,91.867,31,1014.256,"2023-07-18T21:00:00Z"
"239","118565","PA or MP","Tue",22,22,5.3,97.966,25.767,1013.859,"2023-07-18T22:00:00Z"
"240","118565","PA or MP","Tue",23,24,5.8,98.8,24.666,1013.715,"2023-07-18T23:00:00Z"
"241","118565","PA or MP","Wed",0,27,6.4,99.6,23.733,1013.655,"2023-07-19T00:00:00Z"
"242","118565","PA or MP","Wed",1,27,6.5,90.767,29.5,1013.717,"2023-07-19T01:00:00Z"
"243","118565","PA or MP","Wed",2,36,8.7,78.9,40.767,1014.165,"2023-07-19T02:00:00Z"
"244","118565","PA or MP","Wed",3,34,8.1,72,49.7,1014.725,"2023-07-19T03:00:00Z"
"245","118565","PA or MP","Wed",4,37,8.8,69.133,54.566,1015.426,"2023-07-19T04:00:00Z"
"246","118565","PA or MP","Wed",5,45,10.9,67.934,56.5,1015.872,"2023-07-19T05:00:00Z"
"247","118565","PA or MP","Wed",6,51,12.2,67,56.8,1016,"2023-07-19T06:00:00Z"
"248","118565","PA or MP","Wed",7,32,7.8,66.667,56.466,1015.99,"2023-07-19T07:00:00Z"
"249","118565","PA or MP","Wed",8,33,8,67.5,56,1015.895,"2023-07-19T08:00:00Z"
"250","118565","PA or MP","Wed",9,38,9,68.4,55.2,1015.742,"2023-07-19T09:00:00Z"
"251","118565","PA or MP","Wed",10,41,9.9,68.8,54.9,1015.727,"2023-07-19T10:00:00Z"
"252","118565","PA or MP","Wed",11,38,9,68.834,54.733,1015.763,"2023-07-19T11:00:00Z"
"253","118565","PA or MP","Wed",12,43,10.4,69.434,54.067,1015.852,"2023-07-19T12:00:00Z"
"254","118565","PA or MP","Wed",13,44,10.6,69.966,53.867,1016.029,"2023-07-19T13:00:00Z"
"255","118565","PA or MP","Wed",14,43,10.4,70.267,53.367,1016.401,"2023-07-19T14:00:00Z"
"256","118565","PA or MP","Wed",15,50,11.9,71.867,50.8,1016.779,"2023-07-19T15:00:00Z"
